Expectativa;Indicador
Trabajos comunitarios;Colaboración / Colaboración
Mingas;Colaboración / Colaboración
Trabajos colaborativos;Colaboración / Colaboración
Accionar cooperativo;Colaboración / Colaboración
Encuentros;Colaboración / Colaboración
Activar huertas urbanas;Cultivo / AgroEcología / Huerta Urbana
AgroEcología;Cultivo / AgroEcología / Huerta Urbana
Agroecología Urbana;Cultivo / AgroEcología / Huerta Urbana
Alimento;Cultivo / AgroEcología / Huerta Urbana
Huertas comunitarias;Cultivo / AgroEcología / Huerta Urbana
Cosechar;Cultivo / AgroEcología / Huerta Urbana
Cultivar;Cultivo / AgroEcología / Huerta Urbana
Experiencias y prácticas de cultivo;Cultivo / AgroEcología / Huerta Urbana
Educación Ambiental;Educación / Formación / Capacitación
Educación Popular Medioambiental;Educación / Formación / Capacitación
Asesorías para postular a proyectos;Educación / Formación / Capacitación
Capacitación y formación de capital humano;Educación / Formación / Capacitación
Aprender de la experiencia;Educación / Formación / Capacitación
Aprender experiencias diversas;Educación / Formación / Capacitación
Generar Conocimiento;Educación / Formación / Capacitación
Generar Educación;Educación / Formación / Capacitación
Compartir Conocimiento;Educación / Formación / Capacitación
Compartir conocimiento/talleres;Educación / Formación / Capacitación
Compartir experiencias;Educación / Formación / Capacitación
Compartir experiencias;Educación / Formación / Capacitación
Compartir saberes;Educación / Formación / Capacitación
Intercambiar saberes;Educación / Formación / Capacitación
Intercambiar saberes;Educación / Formación / Capacitación
Intercambio de conocimiento;Educación / Formación / Capacitación
Intercambio de experiencias;Educación / Formación / Capacitación
Intercambio de saberes;Educación / Formación / Capacitación
Movimiento amplio y articulado;Fortalecer un movimiento
Ser un movimiento social;Fortalecer un movimiento
Una sola voz;Fortalecer un movimiento
Unificar el movimiento;Fortalecer un movimiento
Unión;Fortalecer un movimiento
Defender el propósito ante autoridades;Horizonte Normativo
Defender la tierra y el agua;Horizonte Normativo
Destruir el patriarcado extractivista;Horizonte Normativo
Llevar políticas públicas;Horizonte Normativo
Presencia en las demandas populares;Horizonte Normativo
Articulación política;Horizonte Normativo
Articulación terretorial;Horizonte Normativo
Promover Soberanía Alimentaria;Horizonte Normativo
Soberanía Alimentaria;Horizonte Normativo
Fuerte comunicación para posicionar la soberanía alimentaria;Horizonte Normativo
Recuperación de espacios públicos;Horizonte Normativo
Defender Semillas;Horizonte Normativo
Defender Semillas;Horizonte Normativo
Perseverancia;Horizonte Normativo
Favorecer la comunidad de la vida;Horizonte Normativo
Visión de futuro regenerativo;Horizonte Normativo
Local / Nacional;Horizonte Normativo
Inspiración ;Horizonte Normativo
Organización sustentable;Orgánica y Sostenibilidad
Gestión de recursos;Orgánica y Sostenibilidad
Organica que dure en el tiempo;Orgánica y Sostenibilidad
Encuentros permanentes;Orgánica y Sostenibilidad
Intercambio de semillas;Redes de Intercambio / Apoyo / Insumos
Redes de apoyo;Redes de Intercambio / Apoyo / Insumos
Redes de apoyo técnicas y educativas;Redes de Intercambio / Apoyo / Insumos
Espacios de apoyo;Redes de Intercambio / Apoyo / Insumos
Red de insumos;Redes de Intercambio / Apoyo / Insumos
Red de insumos;Redes de Intercambio / Apoyo / Insumos
